,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
1549,IBT,6340.63327027503,14.1914196014404,,,,2024,,,
1550,IDA,1108.42805626479,16.5039100646973,3.93999754837987,,60.9876114032049,2010,,,
1551,IDA,1224.23282773791,15.3433799743652,3.8176118016056,,61.348574321013,2011,,,
1552,IDA,1263.0860164259,15.8554248809814,3.82539446333277,,61.7824167764851,2012,,,
1553,IDA,1344.91303078657,16.1748008728027,3.96137716782555,,62.1411087728605,2013,,,
1554,IDA,1417.69621643476,15.63267993927,3.9148069742125,,62.3668503818576,2014,,,
1555,IDA,1350.62840308024,15.9641995429993,3.97662751842491,,62.6135498483383,2015,,,
1556,IDA,1316.75105884171,15.7474398612976,3.93247596582188,,62.9919508459629,2016,,,
1557,IDA,1358.71074719415,15.68577003479,3.86181474640687,,63.2736954244909,2017,,,
1558,IDA,1409.89867481954,16.1142961624282,3.64705127843516,,63.7309311828708,2018,,,
1559,IDA,1434.20463760134,14.2819134973306,3.65488361088858,,64.0885399952044,2019,,,
1560,IDA,1374.49201596905,14.7281237937903,3.92542716661687,,63.8022749850664,2020,,,
1561,IDA,1465.04691576142,15.045609995937,4.13670696339679,,63.4773799318061,2021,,,
1562,IDA,1551.17381360191,14.3321092964105,4.08217377450094,,64.8822902939527,2022,,,
1563,IDA,1458.94469071737,14.7291528247263,,,65.4535223135408,2023,,,
1564,IDA,1441.90853142035,14.1909799575806,,,,2024,,,
1565,IDB,1535.4341798865,18.5184593200684,3.51352641268768,,59.0515129063523,2010,,,
1566,IDB,1705.80920373982,14.8677701950073,3.40658552639972,,59.364406133511,2011,,,
1567,IDB,1844.38819134316,17.3305196762085,3.43544475966566,,59.6305637403653,2012,,,
1568,IDB,1968.06178223368,15.9794473252552,3.51137950693026,,59.8685731055257,2013,,,
1569,IDB,2095.05635792155,15.3474698066711,3.45449061927496,,60.0998681978251,2014,,,
1570,IDB,1947.83629776554,13.243989944458,3.50988877159275,,60.2944946354402,2015,,,
1571,IDB,1790.52401341516,15.0634803771973,3.55488565840022,,60.5761664527178,2016,,,
1572,IDB,1804.57402176769,15.9128103256226,3.60419078175519,,60.818392907263,2017,,,
1573,IDB,1869.41970744766,16.8831596374512,3.27728307690544,,61.0740542759518,2018,,,
1574,IDB,1878.13375771486,14.1786984993157,3.29103592320245,,61.3259973798573,2019,,,
1575,IDB,1735.42504387769,15.6666108638886,3.65014026242974,,60.8180066140619,2020,,,
1576,IDB,1857.19734593257,15.0616168171311,4.01645052641121,,60.876535738179,2021,,,
1577,IDB,1962.52152270807,15.5095016256821,4.02996297858208,,62.1288641416852,2022,,,
